甲骨文字,龜甲文
表彰,表章
換喩法,代喩法
緇類,僧徒
警務廳,總巡
伊罰干,伊伐飡
冶場間,冶匠間
西紀,主後
歸元,示寂
女笠帽,蓋頭
名譽退職,名退
熔巖帶,鎔巖帶
殘存種,殘存生物
厚價,重價
軍備,武備
星河,高河
東床,佳婿
豚油,豬脂
聲音文字,表音文字
骨疽,骨壞疽
僉員,僉尊
君側,君邊
炭水基,炭化水素基
假果,僞果
瞬息,永劫
醋甁,食醋甁
擣砧匠,搗砧匠
籠球,藍球
穀食農事,稼穡
家鴨,家鳧
單一卵,內黃卵
等候,等待
兀頭,禿頂
凌摩,凌逼
大刹,巨刹
令子,玉胤
光學距離,光行路
入隊,投軍
登途,登程
船着場,渡津
星漢,高河
訴件,訴訟事件
休止符,休息符
添加劑,添加物
超顯微鏡,限外顯微鏡
念望,所望
脫解王,昔脫解
最先等,最先
靈寢,靈床
來世,當來
京邸吏,京邸人
匹鳥,鴛鴦
仇校,校正
大洋島,海洋島
矯命,矯旨
故物商,古物商
眞蟶,土魚
憂畏,憂懼
共同栓,共用栓
麥門冬,禹韭
警察行政,警政
神經頭蓋,腦頭蓋骨
文化類型,文化樣式
託宣,神託
矮者,僬僥
才能,器宇
帝命,勅命
蔑魚,鮧鱒
黔黎,黎庶
獲得形質,後天形質
華櫚,樺榴
卓午,正午
紅蛤,淡菜
廣津,廣津區
輻射壓,光壓
筋縮症,筋縮
紅梬棗,桾櫏子
債用,借用
雙駕馬,駕轎
疏外,疎外
器宇,度量
强悍,剛悍
乞卜,考卜
儺儀,儺禮
酒筵,酒席
荒地,陳荒地
玉女,閨愛
密陀,密陀僧
好色,耽色
駐兵,駐軍
曆書,冊曆
證書,證狀
地枋,下引枋
磁力線束,磁力束
觀普賢經,普賢觀經
鄭松江,鄭澈
朔氣,寒氣
曩昔,頃日
沒喫,沒呑
慘憺,慘澹
無窮花,舜花
采女,宮人
奈落迦,那落迦
初霜,新霜
蔚山,蔚山廣域市
嘉味,佳味
㿉疝,㿗疝
座席,坐席
等儕,友人
縱絲,經絲
伊伐飡,伊伐干
死亡屆,死亡申告
土木之役,土木工事
健食,大食
左族,右族
尸毘王,尸毘迦
氏果實,核果
僞單,僞券
農産物,農産
歸程,戾道
閼伽,遏迦水
宮闈,九重
土斑蝥,地膽
波彌干,海干
可分債務,分割債務
短折,夭折
獵場,狩獵地
鉗口,拑口
法人所得,第一種所得
發告,告發
亂帳,亂張
槲木,柞木
港稅,港口稅
卽時時效,卽時取得
禁闕,九重宮闕
誓約文,誓約書
敬拜,敬禮
拒否反應,拒絶反應
桑弧,桑弧蓬矢
燃燈節,燈節
璿派人,璿派子孫
王鴡,魚鷹
解纜,出帆
鱘魚,含光
下典,衙前
四則算法,四則演算
檀香木,旃檀
饑死,餓死
石痳,石淋
吹鍊所,製鍊所
短點,短行
諸聖瞻禮,諸聖徒祭
洗淨劑,洗劑
允準,允兪
上謁,謁見
告白,披瀝
大內,宮家
極祕,極祕密
唯我論,獨我論
幼穉,幼稚
派房,派任
風說,風聞
極祕裡,極祕密裡
四家大乘,四個大乘
熔解爐,鎔解爐
解脫幢相,袈裟
氷輪,氷鏡
遁世者,隱者
包有文,內包文
疑問標,問標
巖穴,石窟
童蒙,兒男子
偃蹇,驕慢
茶居,茶樓
靑瓷器,靑磁
俸廩,廩俸
遍照金剛,大日如來
陰府,泉臺
武后,則天武后
副鼻腔炎,上顎洞蓄膿症
吉祥天女,吉祥天
海鮹子,小八鮹魚
下加羅國,加良國
法官,法吏
合成纖維,化學纖維
學田,贍學田
囚獄,監獄
瑜伽宗,瑜伽敎
私刻本,私刊本
伏羲氏,伏羲
斑點試驗,染點分析
太倉,廣興倉
提擧,提調
硅巖,硅石
銷夏,消夏
戰鬪場,戎場
得利,獲利
衆目所視,衆人所視
功幹,才幹
等高線,同高線
同窓會,同門會
僉員,列位
比例限度,比例限界
奇拔,平凡
魚醯,魚酢
敬禮,敬拜
海蝦,大蝦
豐滿,豊滿
濫造,濫製
攢宮,攢室
地方道,二等道路
産糞,胎便
數三杯,數三盃
昨春,前春
忿頭,憤頭
白鸛,皁君
脹業,創業
大地震,大震
答書,回鯉
簿書,符讖
無食子,沒食子
興夫打令,興夫歌
景色,景致
提婆品,提婆達多品
絞殺,絞戮
內艱,外艱
射出髓,髓線
揮項,護項
兵仗器,兵仗
阿諛,諂諛
總決,總結
崑曲,崑腔
淨髮,削髮
斜斷層,斜走斷層
鼻疽,馬鼻疽
豬膽,猪膽
恕宥,恕容
架空索道,高架索道
時空,時空世界
麻油,麻實油
鞠子,童丱
名銜,名啣
捺印,捺章
運轉資金,運轉費
音標文字,音聲記號
歌舞別監,花草別監
矮檐,短檐
殼族,殼物
沈滓,沈澱
上覽,叡覽
麥麩,大皮
角礫巖,角稜巖
詩畫軸,詩軸
戰線,戰場
棧閣,棧道
御服,御衣
問題兒,天才兒
隱喩法,直喩法
馬韭,忍凌
千金藤,車下梨
練習船,鍊習船
私利,私益
陳荒地,萊蕪
導水堤,導流堤
藥師如來,東方淨瑠璃醫王
黃燈籠,黃紗燈籠
酸敗度,酸價
團聚力,團結力
明紬,綿紬
煖房罐,暖房罐
騎射宮,人馬宮
長刀,長劍
彌勒菩薩,彌勒慈尊
破壞爆彈,破片爆彈
汽水,淡海水
五瘟神,五溫神
肇春,孟春
軺軒,軺車
當來彌勒,慈氏菩薩
廢氣,排氣
碧梧桐,靑桐
夜叉,鬼卒
頌祝歌,誦詠歌
船頭,船首
剩餘,餘剩
風伯,飛廉
悲嘆,痛嘆
水道,上水道
女職工,女工
佛陀,金仙
凶刃,兇刃
子錢,利子
內陸氣候,大陸氣候
馬技,馬上才
利他主義,愛他說
牆屋,墻屋
黃鵠,天鵝
本廳,當廳
雰虹,彩虹
人格,神格
肝蛭,肝蟲
凶吉,吉凶禍福
凝集,凝聚
周燕,蜀魂鳥
全快,全癒
困窮,富裕
子規,蜀魂鳥
柴薪,柴木
扁桃,甘片桃
接腰語,接腰辭
紋片,斷紋
白玉樓,玉樓
淨房,圊廁
灣入,彎入
弓形,缺圓
丹鉛,校訂
驕佚,驕逸
社會記事,三面記事
差金去來,空去來
畏憚,畏忌
移住,移居
上引枋,額枋
劇甚,極甚
保隣館,鄰保館
尺素書,尺牘
兵車,戰車
毛織,毛絲織
物品貨幣,商品貨幣
祿地,封土
句管,勾管
私生子,私子
物票,物標
萊蕪,瘠薄土
勞組員,勞動組合員
放熱器,水煖爐
大瀛,大海
發音記號,發音符號
歌妓,聲妓
壙中,地室
挽章,挽詞
母性遺傳,細胞質遺傳
斬新,陳腐
于伐飡,舒發翰
宮中,闕中
攝行,攝祀
海粉,海蛤粉
移動文庫,巡廻文庫
混宗婚,混宗婚姻
白土質,白堊質
天河,銀河水
炎熱,炎暑
對面,當面
公侯,諸侯
曩昔,先般
男女同權,男女同等權
蜀鳥,時鳥
嘉排節,仲秋節
天界,天上界
貸金,貸附金
泥匠,泥工
共樂,同樂
止觀宗,天台宗
保安警察,治安警察
純色,飽和色
雄篇,大篇
食價,食代
學堂,書屋
支持者,關心者
酷炎,暴炎
豐年,康年
景勝地,名勝地
棘菀,靈神草
他席,他座
拒否,首肯
石彩畫,眞彩畵
再役,再服役
盲者,瞽人
屠獸,屠殺
熟睡,酣臥
僧坊,尼寺
驪珠,如意寶珠
音聲字母,音聲記號
恩惠,怨恨
鴟梟,土梟
脚本化,脚色
背鰭,脊鰭
石穴,石鑛
排中律,排中論
加地枋,加枋
童孩,孩童
生捕,生致
無電筒,表筒
大凶,大凶年
名案,至想
暗中,暗暗裏
新霜,初霜
苦心,苦慮
加檐石,蓋頭
寶璧,寶石
血心,血誠
灌域,流域
保稅地域,保稅區域
採探,採訪
伏炎,伏熱
洛陽,落京
猪勇,豬勇
陰曆,舊曆
發動船,發動機船
食舊德,食德
祠版,神主
賦金,賦課金
僮子蔘,童子蔘
生命刑,死刑
啓明星,曉星
孔雀羽,雀羽
遠域,遠地
生擒,擒捉
陣中,戰線
幽都,黃壤
軌度,法度
家間事,家中事
府署,官廨
公裁,公開裁判
熔融,融解
九竅,九穴
濁甫,濁客
矯正,矯捄
流行病,時疫
靑花,唐靑華
兵革,金革之難
宂漫,宂長
平民,白民
蒸氣點,沸點
回憶,緬憶
純篤,醇厚
奇巖,奇巖怪石
服勞,服勤
重疊,臶疊
騈儷文,四六騈儷文
左傳,春秋左氏傳
小波,細波
受諾,受諾
補助,補裨
至人,眞人
推諉,推委
感溫相,感溫期
成版,整版
靑鞜波,靑踏派
科料,科錢
字類註釋,字類註解
山神祭,山祭祀
下水道管,下水管
屋內,室內
鷹人,內鷹人
玻璃,玻瓈
海衣,碧苔
彗孛,尾星
年豐,年豊
花香炙,汁花香炙
豫賣,先賣
口錢,口文
景明風,巽風
交付金,補助金
紺宇,僧伽藍摩
做作,做出
學徒兵,學兵
對稱背斜,正立背斜
端溪硯,端硯
短簡,短札
不能,不可能
靑帝,東皇
臨時費,不恒費
遠略,遠謀
文字交,文交
輻輳論,輻湊論
倉廩,倉府
惠燈,慧燈
旅心,旅情
糯餠,粘餠
臨朔,臨月
詗察,偵察
不定形詩,不定型詩
槐院,承文院
火輪車,輪車
養育,亭毒
掠奪婚姻,掠奪婚
運搬子,運搬體
戇原質,糖原質
主掌僧,住持
國憂,國患
拔萃,拔羣
外國人,異邦人
攝律儀戒,攝衆生戒
合從,合從策
愼重,輕率
快速艇,快艇
威嚇,脅嚇
白木蓮,辛夷
鴟鵂,怪鴟
除塵,受塵
肉化主,肉火主
景泰藍,七寶燒
花粉症,乾草熱
自主減免,自首減免
兵士,戎兵
漂說,浮說
金銀藤,老翁鬚
毁謗,訾謗
兇逆,凶逆
擊金,擊錚
投稿,投書
貧齒類,齧齒類
珪酸,硅酸
樂譜,音譜
懷心病,相思病
春情,色情
外換率,外國換時勢
偃蹇,褻慢
山遊,山臺戱
訴文,訴狀
躊躇,躕躇
矜嚴,謹嚴
憤氣,忿氣
筐笥,竹籃
土壤圖,土姓圖
讓渡稅,讓渡所得稅
硅肺症,硅素肺症
刻草,刻煙草
蒲盧,蠮螉
趣意,趣旨
龍鬚草,石龍芻
鑛物工學,鑛山學
醜說,醜談
當座貸越,貸越
圖讖,圖籙
浮游,浮遊
鰐魚科,鰐科
干黷,冒瀆
飜身,翻身
單純設立,發起設立
奉祀孫,奉孫
翔貴,騰貴
評論界,論壇
長壽,大壽
校外授業,校外敎授
登豊,登豐
右水使,右水軍節度使
馬廏,馬廏間
險坂,嶮阪
單一槪念,單獨槪念
黃壤,幽界
低價,廉價
桀驁,放漫
蠆蟲,蠆尾蟲
季秋,秋晩
活動電位,動作電位
樹枝說,波狀說
年表,年代表
線孔類,有棘類
星漢,天河
四角柱,四角形柱
宮宇,宮禁
斷岸,斷崖
天蔓菁,皺面
濁度計,比濁計
石薜荔,蘿蔓
關節,骨節
盛衰,隆替
夜光明珠,夜光玉
來信,來書
偶坐,對坐
道兄,都司敎
後生說,後成說
起工,竣工
嬌童,佼童
算數,計算法
農土,農地
曾孫,曾孫子
寺宇,寺院
海溝,海淵
等儕,朋執
嘆稱,歎稱
勤怠,勤慢
頓首,稽顙
溫血動物,等溫動物
鍛鍊,鍊鍛
劃法,筆法
馬齒莧,五行草
序言,緖言
晴陰,陰晴
三災,小三災
官印,印信
四種花,四華
外中比,中末比
龍樽,龍罇
電杆木,電線柱
點滴分析,染點分析
小加倻,小伽倻
昊天,顥天
沐浴間,沐間
厚薄,風薄
暑濕,暑濕之氣
茶毘文,茶毗文
昨年,去年
共匪,赤匪
强骾,强鯁
說服力,說伏力
向濕性,向水性
別邸,別莊
亞灌木,半灌木
愛韭,羊韭
山臺戱,山棚戱
啓奏,啓稟
帳簿貨幣,對替貨幣
公明,至公無私
大寶,國璽
肇基,開元
因山,國葬
取締役,理事
三世佛會,佛名
防禦同盟,防守同盟
聲量,音量
泥炭,土炭
干伐飡,伊伐飡
唯識論,唯識二十論
團結,團合
釐金,釐金稅
融劑,鎔劑
砂壤土,砂質壤土
鯔魚,鳥頭魚
屍水,薪水
默殺,無視
朞功親,强近之族
寄別,奇別
成層圈,成帶圈
上司,上府
二方乘,自乘
重泉,黃壚
與黨,執權黨
狂者,狂人
碁歷,棋歷
孤吟,孤詠
寒暖計,寒暑針
覘望,遠候
出婦,黜婦
欺弄,譏弄
曾孫子,曾孫
面質,對質
死海,鹽海
朱蒙,東明聖王
後年,來明年
南牀,南床
鷺鷥藤,忍冬
瘠土,荒蕪地
水礬土,鐵礬石
東牀,佳壻
血糞,血便
瀑布,飛流
彈着點,着彈點
金融市場,金融界
奸佞輩,奸侫輩
歇邊,輕邊
愆過,失錯
苛急,苛酷
自由市,自由都市
小閑,小暇
䱋魚,魟魚
風貌,風裁
神秘主義,神祕主義
麯茶,穀茶
柞木,檞木
矮屋,小屋
不如歸,杜宇
機器,器機
多肉果,液果
縣官,縣令
椎骨,脊骨
水成巖,成層巖
兇占,凶占
饌品,饌需
昏恍,昏睡
轗壈,輡壈
聽覺器,廳官
客辭,客語
冷凍魚,冷藏魚
古初,太初
來世,後世
監館事,監春秋館事
木靴,帽靴帶
連敗,連勝
向日,前者
畏怖,畏縮
單純名辭,單名
緻巧,巧緻
捲音,舌卷音
腎硬化症,腎臟硬化症
英字,英文字
籬落,藩垣
彌勒佛,菩薩僧
山臺雜戱,儺藝
爪甲,指甲
遐年,老壽
內侍,內宦
歎稱,稱歎
義捐金,寄附金
凶賊,兇賊
半園,半圜
法務士,司法代書人
京江商人,京江商
龍鳳帳殿,龍鳳大幕
傳令,傳命
鋼板,鋼鐵板
唱戱,唱劇
銀朱,銀硃
復讐戰,復讎戰
石墨片巖,黑鉛片巖
細漣,漣漪
殘編,殘缺本
伊伐飡,舒發翰
免罪符,免罰符
飢飽,饑飽
山禽,山鳥
高足,高足弟子
箭魚,助魚
唐瘡,骨瘍
追白,追申
酒家,酒舖
馬韭,不死草
稀年,七旬
供源,供給源
規則,不規則
凍瘡,涷瘃
丹柱,丹楹
視界,視野
前膊骨,前腕骨
鄭瓜亭,鄭瓜亭曲
萬燈供養,萬燈
走行帶,螺旋帶
法藏菩薩,康藏法師
保溫甁,二重甁
水際,汀渚
康樂,安樂
學習說,學習理論
頃者,前次
文人劇,文士劇
天主,上主
賑恤廳,救荒廳
現金,現札
懇願,悃願
僧房,女僧房
鱏鰉,鱘鰉
大樂司,管絃房
勤惰,勤怠
寄贈,贈寄
閻魔王,死王
破網,新網
俠心,義俠心
跋文,序文
穿山甲,鼉甲
時體病,輪疾
調均,調和
詭辭,詭辯
領地,祿地
勁直,硬直
明察,英察
嗟嘆,嗟歎
胤君,玉胤
纖魄,纖月
光色,光彩
火力發電,水力發電
神策,神算
謄出,謄草
大食,健啖
建瓴,建瓴水
彈音,振動音
三角洲,三稜洲
貴函,雲翰
攢室,攢宮
背反,背叛
弓手座,射手座
木布,布木
眞海豚,海豬
礪石,砒石
熱瘧,暑瘧
炙果器,炙器
木芍藥,牧丹
叫喚地獄,無間地獄
感謝頌,感謝序文經
稷愼,肅愼
兒男子,童子
鍊習冊,練習冊
公因數,共通因數
句欄,交欄
常命,天壽
汀渚,水畔
殘夜,晨明
橄欖,諫果
承諾,是認
別樣,別般
椿壽,永壽
望月,朢月
謫降七仙,林虎隱傳
除蟲藥,殺蟲劑
童穉,童丱
宮禁,丹鳳
無上大法,無上命令
遊泳場,水泳場
排氣,廢氣
想蘊,五蘊
稅收,稅收入
忘死生,忘死
班種,班族
磁鐵鑛,磁鐵
翦毛,剪毛
忍耐力,持久力
村氓,村百姓
臨時標,變化記號
團子餠,團子
內宦,寺人
輿論調査,世論調査
愼火,景天
振男,童蒙
表皮組織,上皮組織
支那人,中國人
領地,提封
憤氣,忿岐
窮髮,瘠薄地
原價主義,時價主義
寡鵠,曠夫
殷昌,殷盛
遁甲術,遁術
娼魚,扁魚
靑磁器,靑陶
貢侵魚,針嘴魚
勳封,封勳
火裏紅,火焰靑
稀疎,稀闊
單量體,單位體
博山爐,博山香爐
種麴,銀麴
採掘,掘採
野鷄冠,靑葙
王駕,動靜
廳事,官廨
九天,九方天
淸信士,居士
牆內,牆外
星漢,牛漢
邪宗,邪敎
艶美,艶羨
大社,太社
赤日百千,白晝
進士,太學生
海狗,膃訥獸
抱木,柞木
蓮花,簾車
席捲,席卷
曼壽,胡壽
借狀,借券
觖望,缺望
團體契約,團體協約
配耦,配匹
加罪,加律
法學科,法律學科
麗春花,罌粟花
服量學,用量學
强姦,劫姦
列錄,列書
貫鄕,本貫
磔刑,磔殺
初娶,初室
片紙,書柬
地獄世界,地獄界
差遣,差送
時在,現在
都家,都賣商
加衣,冊甲
異鄕,殊鄕
主辭,主槪念
內從四寸,姑從四寸
諷讀,暗誦
投身,入水
混成重合,共重合
箝口令,緘口令
屬望,囑望
鷄冠草,鷄冠
凸彫,浮上刻
媒介變數,母數
陵寢,仙寢
領收書,領受書
需要者,需要家
歸依渴仰,歸仰
自如,自若
陽物,腎莖
激讚,激賞
金鈴子,川楝子
換歲,改歲
泮主人,館主人
除去,除却
門弟,門下生
兵甲,甲仗
信書,書翰
史蹟地,史跡地
硅長鑛物,無色鑛物
開墾,起墾
女官,宮妾
別房,小妻
禹韭,烏韭
廁牏,廁瘉
表音文字,聲音文字
自斃,自盡
豐凶,飢穰
知慧,智慧
鎭星,塡星
小刀,刀子
冥路,冥境
衽席,兩衾
豊漁,大漁
代播,代用作
裨將,佐幕
生道,生計
會試,覆試
服親,有服之親
大集經,大方等大集經
童車,乳母車
上平聲,上平
領地,封疆
兵舍,墓幕
黃橙色,橙黃色
原被,原被告
樂園,地獄
丹殼,紅樹皮
甘爛水,甘瀾水
東北風,炎風
西方極樂,西方安樂國
外換率,換時勢
聲帶音,聲門音
洞穴,洞窟
梨皮泥,梨皮紋
動聽,傾聽
就床,就寢
病原菌,病菌
喧傳,喧藉
至于今,至于今日
配分,分配
藍毘尼園,藍毘尼
雪程,雪路
瓜蔞,栝蔞
毛管引力,毛細管引力
粧潢,裝潢
側波帶,側帶波
蠻族,野蠻族
始祖,鼻祖
風致,韻致
家慈,慈親
靑花,靑華
元正,新元
蜀魂鳥,蜀鳥
偏國,偏邦
育養,養育
否定,拒絶
冶坊,冶場間
兩性混合,有性生殖
僻境,僻地
機捷,機敏
野鶴,仙鶴
山林地帶,山林帶
佛僧,浮圖
三稜草,荊三稜
退俗,歸俗
冶場間,鍛鐵場
轎子,平轎子
雷公,雷神
獻詞,獻辭
哀慕,謹悼
佼童,嬌童
疏伐,干伐
近口,接脣
老體,老少同樂
精姸,精美
伏犧氏,伏羲
光蔘,藤子
時配分,時分割
妬精瘡,下疳
偵察,廉問
白土,素堊
與儓,隸御
地府,重泉
無水硅酸,硅酸
人界,人間界
嫁娶,結婚
幽都,陰府
映畫界,第五階級
美辭,麗辭
亞麻織,亞麻布
私版,官版
當年草,一年草
子煩症,子煩
淫媟,淫褻
死命,死生
緩行車,急行車
盧子,瞳子
坦路,坦坦大路
暗計,暗謨
白梅,鹽梅
忍耐心,根氣
汀渚,渚岸
屬望,期待
閣道,棧道
無他可稽,無處可考
偵察,譏詗
嵌甲瘡,爪甲瘡
壽齡,大椿之壽
蝸牛殼,蝸牛螺旋管
留守,居留
暘谷,咸池
偃然,倨傲
專門雜誌,專門誌
正軸,主軸
九折草膏,九節草膏
都執,都聚
無能力,無能
叡斷,聖斷
贅談,贅言
傾心,外心點
桑弧,桑蓬之志
私席,私座
寺刹,禪宮
石割地獄,衆合地獄
成墳,封墳
嚴責,痛責
增遣,增派
朝酒,卯酒
面顔,面眼
容易,難解
動力船,發動機艇
水路案內,導船
納付金,拂入金
羊韭,馬韭
錯陳,錯列
一數,上策
抱木,作木
原因子,素因數
獨在論,獨我論
墳塋,幽宅
深刑,酷刑
祿俸,祿料
司僕寺,司僕
大臣,政丞
夾刀,挾刀
蓮宗,淨土門
審廷,法庭
管窺,穴見
染色,色染
揭載,登載
公衙,官廨
妥議,妥商
水輪,眼睛
知賓,知客
自首減等,自首輕減
正義感,正義心
銀魚,銀口魚
團餈,團子
洗面道具,洗面器具
王宮,九重宮闕
前番,前回
孕身,妊娠
作業機構,作業機
寫眞乾板,乾板
三造對面,三造對質
沃丁,沃度丁幾
倮體像,裸身像
靑陶,靑磁
決定論,定道論
救主,救世主
奸物,奸人
負蠜,小蝗蟲
無紋筋,平滑筋
蚌珠,眞珠
同巧,同工
侈傲,矜大
輻射點,放射點
海外電報,國際電報
釋迦世尊,薄伽梵
精細胞,精子細胞
一緊,必要
宮家,九重宮闕
靑沙器,靑陶
鏡鐵鑛,輝鐵石
法性宗,元曉宗
泥菖蒲,白菖
通訃,赴告
註疎,注疎
內奴婢,宮奴婢
吐逆,逆氣
類推,類比推理
再建體操,再建國民體操
令子,令胤
傷心,心傷
漣波,淪漪
辨理,利子
起業家,起業者
剪裁,翦裁
竈王神,竈王大神
羊韭,烏韭
太陽電波,太陽雜音
雷霆,雷霆霹靂
示唆,暗示
苛疾,重病
宮宇,坤宮
南贍部洲,閻浮提
文身,刺文
地獄,那落
宿怨,夙怨
內苑,禁苑
一晝一夜,一晝夜
確率,公算
戒盈杯,節酒杯
箇中,個中
正逕,正道
骨瘍,骨疽
夜壺,尿綱
店肆,店鋪
弱拍,上拍
太僕,大僕
隸臣,人臣
輿駕,乘輿
法律學科,法學科
匡弼,匡翼
托葉,葉托
栽植企業,植耕
密補藤,鴛鴦藤
兒名,小名
如上,同上
葭蘆,蘆草
參議員,參議院議員
指示,指圖
桀驁,傲然
荼蘼,階前草
紫籞,九重深處
複線鐵道,複鐵
交易,通商
宴禮樂,宴樂
輻射,熱放射
酸血症,酸中毒
生捕,擒獲
穉樹,稚樹
鞋匠,周皮匠
蘿葍,菁根
外國,客地
彌勒,菩薩
輓詩,挽詩
圍心囊,圍心腔
伏誅,伏法
複利計算,複利法
洋雞,洋鷄
脫臼,奪骨
浮選,浮選機
懈緩,怠慢
梟勇,驍武
皁莢,皁角
聲喩法,擬聲法
潛水夫,潛水工
仲兄,次兄
農事處,農土
摸襲,模襲
極窮,赤貧
强制收用,公用收用
企圖,企劃
柹雪,柹霜
大黑天,摩訶迦羅天
菊半,菊半截
虛名,虛聞
閻魔王,閻王
致死帶,活動帶
元辰,元旦
尺翰,片紙
肯定的,好意的
妻黨,妻族
醉裡,醉裏
賬冊,帳冊
加金,加錢
連坐,緣累
遁甲法,遁甲術
追贈,貤贈
朔方,北方
稚兒,童孩
自己感應,自己誘導
磽确,磽瘠
少額,巨額
違敕,違勅
移模,移摸
窮窘,困窮
麻種,麻蕡
木佛,木佛像
肝臟炎,肝炎
始渡式,初渡式
金官國,南加羅國
訛說,訛言
反變,叛變
學堂,學房
蒼空,碧空
胎禽,野鶴
題辭,題詞
外邦,他國
層狀巖,沈澱巖
津頭,津驛
懷抱,宿抱
他人,他者
至緊至要,必要
正射影,垂射影
墓銘,墓誌銘
倮體畫,裸體畫
割滑車,滑車
喇叭管炎,卵管炎
遺業,遺緖
騈儷文,四六
節食,斷食
兔景,月色
燈臺,光塔
石蜜,石淸
海上,波頭
鼻祖,元祖
列位,僉員
回貼,答狀
慈氏,未來佛
圊廁,淨房
命車,軺軒
銀河水,高河
娼婦,姿女
昔年,故歲
孩提,孩提之童
烹割,烹飪
詞華,詞藻
冬至粥,冬至豆粥
沈着,唐慌
處女,室女
入胎相,托胎
僧伽藍摩,寺社
洞里,里巷
期望,期待
至于今日,至今
棊石,棋石
外患,內憂
最上,至上
柞木,鑿子木
高材,高才
倒錯症,變態性慾
流星,定星
安定地塊,安定陸塊
畸人,病身
黑豆病,紅疫
名師,名風
韓方醫,韓醫師
砂時計,沙漏計
內弔,內釣
葭葦,葭蘆
次序,次第
童孩,孩提之童
貴家,貴宅
面接,面接試驗
洑水稅,水稅
茶道具,茶諸具
瓜蔞,天瓜
赤誠,丹誠
天漢,銀潢
鼠目太,穭豆
大循環,體循環
潛出血,潛血
家父,嚴君
土炭,泥炭
門弟子,門下生
蘭草科,蘭科
同根,同氣間
鐘情,鍾愛
影迹,形跡
牛漢,河漢
協商條約,協約
孤雁,孤鴻
土建,土木建築
右政丞,右揆
物界,物質界
木栮,木耳
名句,名文句
內命,密命
謄寫機,速寫板
黑龍,驪龍
純理論,悟性論
序奏,序奏部
捕蟲網,昆蟲網
模形,原型
聞人,名家
附合物,附加物
幣邦,弊國
絹織物,絹物
由旬,踰繕那
受付,接手
雲鑼,細點子
重五,重五節
黃粱米,黃粱
簡竹,竿竹
沙灘,砂灘
衾枕,衾褥
向日,前回
水荏,野荏
衿川區,衿川
性發,伶俐
解厄,度厄
迫脅,脅迫
文南武,門蔭武
悔恨,懊恨
太子家令,家令
由緣,因緣
再校,再準
交錯槪念,交叉槪念
脊椎骨,脊梁骨
迊湌,蘇判
府庫,庫間
禪學,意學
單靑龍,內靑龍
上疏,陳疏
僧帽瓣,二尖瓣
法定貨幣,法幣
硬皮症,鞏皮病
缺點,弱點
古跡地,古跡
秦椒,崖椒
至貧,極窮
路床,路盤
戰歿將兵,戰亡將卒
花郞,國仙
守直,直宿
後昆,後孫
醬蚄蟹,醬螃蟹
豫備隊,豫備軍
發起者,發起人
前鋒,先鋒
黑暗天女,黑闇天
債金,借金
熔鑛爐,鎔鑛爐
一廓,一郭
黑蛤,黃蛤
龍鬚草,藺草
紅柹,軟柹
一輪車,一輪車
頭頂骨,天靈蓋
輔翼,輔翊
雩祀壇,雩壇
食單表,食單
始業林,供用林
至窮且窮,至貧
蠻夷族,蠻夷
宮寢,九重深處
綿實油,棉油
遠候,斥喉
水涯,汀岸
磽确,窮髮
磽瘠,荒地
夜學,夜間學校
對照,對比
補給路,補給線
霿淞,木稼
斜照,斜日
屠殺者,庖漢
浮蟻,酒蟻
水涯,水畔
下屬音,下屬三和音
金銀木,老翁鬚
石羊,羊石
曩日,先次
高城,高城郡
胄裔,後孫
先塋,先壟
泉龍,龍子
莓苔,綠錢
當山,當寺
蠟嘴鳥,靑雀
尼院,尼寺
尿道,尿道
漠然,確然
骨疽,唐瘡
短行,短點
上年,昨歲
寺院,寺刹
戰鬪,酣戰
方頭魚,達江魚
鯉庭之訓,過庭之訓
吹樂器,吹奏樂器
阿賴耶識,阿羅耶識
硅肺病,硅肺
疆埸多事,戰火
十王廳,重泉
年初,歲初
沮遏,沮止
紅娘子,王母珠
疑問符,疑問標
果是,果然
牽牛,狗耳草
鑛穴,鑛脉
端艇索,短艇索
蚱蜢,斯螽
利他官,利他鄕
伊伐飡,一伐干
非難,稱讚
前庭窓,卵圓窓
量狹,量窄
第一審,一審
節約,濫用
菩薩僧,彌勒
世祿,家祿
獸醫師,獸醫
櫟木,檞木
軍友,戰友
內宦,內侍
面談,面語
簡札,尺翰
荒地,瘠薄地
脫穀機,回轉機
版籍,文籍
反應物,反應物質
前者,曩日
閨養,閨秀
此生,此世
剛體力學,剛體動力學
獄中書信,獄中書翰
比例中項,比例中數
丘嫂,伯嫂
廬外,意外
碁石,棋石
天子,鉅公
極窮,至貧無依
廣大,排倡
漫言,漫語
泄瀉藥,瀉藥
鰉魚,忽魚
爻象,景光
船埠,渡船場
溯行,遡行
家族,家室
兵站地,兵站路
潤文,推敲
二丁一保,保法
副詞格,造格
失認症,失認
黑雷鳥,鶡鷄
接待婦,女給
禮節,儀節
嘉排日,嘉排節
九重,丹鳳
屠家,白丁
迅速,敏捷
阿珍飡,海干
深慮,玄慮
孑孒,蛣蟨
去番,疇曩
議政府,議政府市
弧宴,晬宴
題主奠,題主祭
國際電報,海外電報
罪獄,獄事
漁業權,漁撈權
等正覺,等覺
感歎,詠歎
口陳,口述
灰色派,中間派
半瓷器,半磁器
胤玉,允君
辜限,保辜期限
課稅率,課率
鰯魚,鱴兒
